code_operateur,nom_operateur,code_site_operateur,id_station_anfr,x_lambert_93,y_lambert_93,date_ouverturecommerciale_5g,site_5g_700_m_hz,site_5g_800_m_hz,site_5g_1800_m_hz,site_5g_2100_m_hz,site_5g_3_5_g_hz,code_commune_insee,nom_commune_insee,code_departement_insee,nom_departement_insee,code_region_insee,nom_region_insee
20801,Orange,00000001B1,642290151,422850,6249230,2020/12/14,0,0,0,1,0,64284,Jurançon,64,Pyrénées-Atlantiques,75,Nouvelle-Aquitaine
20801,Orange,00000001B2,332290026,416943,6422175,2021/2/26,0,0,0,0,1,33063,Bordeaux,33,Gironde,75,Nouvelle-Aquitaine
20801,Orange,1.00E+01,212290007,853298,6692985,2021/3/31,0,0,0,0,1,21231,Dijon,21,Côte-d'Or,27,Bourgogne-Franche-Comté
20801,Orange,00000001F3,592290571,706035,7030059,2020/12/14,0,0,0,0,1,59178,Douai,59,Nord,32,Hauts-de-France
20801,Orange,00000001H5,382290010,915011,6458055,2021/3/31,0,0,0,0,1,38185,Grenoble,38,Isère,84,Auvergne-Rhône-Alpes
20801,Orange,00000001J4,302290005,842974,6319498,2021/1/29,0,0,0,0,1,30351,Villeneuve-lès-Avignon,30,Gard,76,Occitanie
20801,Orange,00000001T1,312290351,574390,6279677,2020/12/14,0,0,0,0,1,31555,Toulouse,31,Haute-Garonne,76,Occitanie
20801,Orange,00000001U6,942290055,651492,6851643,2021/6/30,0,0,0,0,1,94021,Chevilly-Larue,94,Val-de-Marne,11,Île-de-France
20801,Orange,00000001Z1,142290016,454230,6903495,2021/5/31,0,0,0,0,1,14118,Caen,14,Calvados,28,Normandie
20801,Orange,00000002B2,332290023,418245,6425840,2021/2/26,0,0,0,0,1,33063,Bordeaux,33,Gironde,75,Nouvelle-Aquitaine
20801,Orange,00000002L2,572290020,930859,6896921,2021/3/31,0,0,0,0,1,57463,Metz,57,Moselle,44,Grand Est
20801,Orange,00000002T1,312290014,575779,6281032,2020/12/14,0,0,0,0,1,31555,Toulouse,31,Haute-Garonne,76,Occitanie
20801,Orange,00000002W2,912290013,648225,6843471,2021/3/31,0,0,0,0,1,91345,Longjumeau,91,Essonne,11,Île-de-France
20801,Orange,00000003B2,332290028,421873,6426235,2021/6/30,0,0,0,0,1,33249,Lormont,33,Gironde,75,Nouvelle-Aquitaine
20801,Orange,00000003F4,592290039,703788,7063473,2020/12/14,0,0,0,0,1,59527,Saint-André-lez-Lille,59,Nord,32,Hauts-de-France
20801,Orange,00000003H6,422290012,812077,6484351,2021/5/31,0,0,0,0,1,42237,Saint-Jean-Bonnefonds,42,Loire,84,Auvergne-Rhône-Alpes
20801,Orange,00000003J5,832290015,940185,6229105,2021/1/29,0,0,0,0,1,83137,Toulon,83,Var,93,Provence-Alpes-Côte d'Azur
20801,Orange,00000003K2,302290008,810119,6304449,2021/4/30,0,0,0,0,1,30189,Nîmes,30,Gard,76,Occitanie
20801,Orange,00000003L1,542290014,932932,6846966,2021/2/26,0,0,0,0,1,54395,Nancy,54,Meurthe-et-Moselle,44,Grand Est
20801,Orange,00000003M1,442290011,359839,6694325,2021/3/31,0,0,0,0,1,44026,Carquefou,44,Loire-Atlantique,52,Pays de la Loire
20801,Orange,00000003S1,672290019,1048099,6847675,2021/1/29,0,0,0,1,0,67309,Mundolsheim,67,Bas-Rhin,44,Grand Est
20801,Orange,00000003T1,312290009,577007,6278396,2020/12/14,0,0,0,0,1,31555,Toulouse,31,Haute-Garonne,76,Occitanie
20801,Orange,00000003U6,942290009,663361,6858389,2021/4/30,0,0,0,0,1,94017,Champigny-sur-Marne,94,Val-de-Marne,11,Île-de-France
20801,Orange,00000004B2,332290319,420217,6423072,2021/2/26,0,0,0,0,1,33063,Bordeaux,33,Gironde,75,Nouvelle-Aquitaine
20801,Orange,00000004C1,512290138,777097,6905305,2021/3/31,0,0,0,0,1,51454,Reims,51,Marne,44,Grand Est
20801,Orange,00000004F5,622290018,674077,7048760,2021/1/29,0,0,0,0,1,62119,Béthune,62,Pas-de-Calais,32,Hauts-de-France
20801,Orange,00000004H1,742290006,941545,6539123,2021/5/31,0,0,0,0,1,74010,Annecy,74,Haute-Savoie,84,Auvergne-Rhône-Alpes
20801,Orange,00000004M2,722290014,491568,6769222,2020/12/3,0,0,0,0,1,72181,Le Mans,72,Sarthe,52,Pays de la Loire
20801,Orange,00000004Q1,292290015,148088,6837621,2020/12/30,0,0,0,0,1,29019,Brest,29,Finistère,53,Bretagne
20801,Orange,00000004U8,752290341,651501,6866603,2021/3/31,0,0,0,0,1,75056,Paris,75,Paris,11,Île-de-France
20801,Orange,00000004W4,782290019,638511,6869772,2020/12/14,0,0,0,0,1,78586,Sartrouville,78,Yvelines,11,Île-de-France
20801,Orange,00000005F4,592290003,702037,7054972,2020/12/14,0,0,0,1,0,59360,Loos,59,Nord,32,Hauts-de-France
20801,Orange,00000005H3,692290022,848154,6520178,2021/1/29,0,0,0,0,1,69266,Villeurbanne,69,Rhône,84,Auvergne-Rhône-Alpes
20801,Orange,00000005K2,342290266,770849,6279497,2020/12/14,0,0,0,0,1,34172,Montpellier,34,Hérault,76,Occitanie
20801,Orange,00000005L2,572290021,936671,6895302,2021/3/31,0,0,0,0,1,57463,Metz,57,Moselle,44,Grand Est
20801,Orange,00000005M1,442290020,354954,6689898,2021/3/31,0,0,0,0,1,44109,Nantes,44,Loire-Atlantique,52,Pays de la Loire
20801,Orange,00000005Q1,292290033,143706,6835896,2020/12/30,0,0,0,0,1,29019,Brest,29,Finistère,53,Bretagne
20801,Orange,00000005S1,672290015,1048335,6835116,2021/1/29,0,0,0,0,1,67218,Illkirch-Graffenstaden,67,Bas-Rhin,44,Grand Est
20801,Orange,00000005T1,312290025,572941,6277175,2020/12/14,0,0,0,0,1,31555,Toulouse,31,Haute-Garonne,76,Occitanie
20801,Orange,00000005U7,752290284,652916,6859954,2021/4/30,0,0,0,0,1,75056,Paris,75,Paris,11,Île-de-France
20801,Orange,00000006B1,642290007,331631,6273634,2021/6/30,0,0,0,0,1,64122,Biarritz,64,Pyrénées-Atlantiques,75,Nouvelle-Aquitaine
20801,Orange,00000006D1,632290006,708076,6517580,2020/12/3,0,0,0,0,1,63014,Aubière,63,Puy-de-Dôme,84,Auvergne-Rhône-Alpes
20801,Orange,00000006F4,592290042,708283,7063175,2020/12/14,0,0,0,0,1,59646,Wasquehal,59,Nord,32,Hauts-de-France
20801,Orange,00000006H1,742290009,949672,6571619,2021/5/31,0,0,0,0,1,74012,Annemasse,74,Haute-Savoie,84,Auvergne-Rhône-Alpes
20801,Orange,00000006J2,62290020,1026977,6288166,2020/12/30,0,0,0,0,1,6152,Valbonne,6,Alpes-Maritimes,93,Provence-Alpes-Côte d'Azur
20801,Orange,00000006K2,342290012,774015,6276655,2020/12/14,0,0,0,1,1,34129,Lattes,34,Hérault,76,Occitanie
20801,Orange,00000006U7,752290406,652134,6859557,2021/4/30,0,0,0,0,1,75056,Paris,75,Paris,11,Île-de-France
20801,Orange,00000007B1,642290162,339178,6278258,2021/6/30,0,0,0,0,1,64102,Bayonne,64,Pyrénées-Atlantiques,75,Nouvelle-Aquitaine
20801,Orange,00000007B2,332290025,410250,6422248,2021/3/31,0,0,0,0,1,33281,Mérignac,33,Gironde,75,Nouvelle-Aquitaine
20801,Orange,00000007D1,632290011,705999,6520508,2020/12/3,0,0,0,0,1,63113,Clermont-Ferrand,63,Puy-de-Dôme,84,Auvergne-Rhône-Alpes
20801,Orange,00000007J1,132290025,891247,6253120,2020/12/3,0,0,0,0,1,13055,Marseille,13,Bouches-du-Rhône,93,Provence-Alpes-Côte d'Azur
20801,Orange,00000007J2,62290029,1029876,6286620,2021/6/30,0,0,0,0,1,6004,Antibes,6,Alpes-Maritimes,93,Provence-Alpes-Côte d'Azur
20801,Orange,00000007K2,342290283,766614,6278791,2020/12/14,0,0,0,0,1,34172,Montpellier,34,Hérault,76,Occitanie
20801,Orange,00000007L1,542290020,936543,6849706,2021/5/31,0,0,0,0,1,54482,Saint-Max,54,Meurthe-et-Moselle,44,Grand Est
20801,Orange,00000007T1,312290020,568820,6283165,2020/12/14,0,0,0,0,1,31069,Blagnac,31,Haute-Garonne,76,Occitanie
20801,Orange,00000007U2,932290015,661732,6872146,2021/4/30,0,0,0,0,1,93005,Aulnay-sous-Bois,93,Seine-Saint-Denis,11,Île-de-France
20801,Orange,00000008B2,332290029,412423,6426473,2021/3/31,0,0,0,0,1,33162,Eysines,33,Gironde,75,Nouvelle-Aquitaine
20801,Orange,00000008J1,132290024,894144,6251308,2020/12/3,0,0,0,0,1,13055,Marseille,13,Bouches-du-Rhône,93,Provence-Alpes-Côte d'Azur
20801,Orange,00000008S1,682290012,1024347,6747894,2020/12/14,0,0,0,0,1,68224,Mulhouse,68,Haut-Rhin,44,Grand Est
20801,Orange,00000008T1,312290370,581430,6273994,2020/12/14,0,0,0,0,1,31506,Saint-Orens-de-Gameville,31,Haute-Garonne,76,Occitanie
20801,Orange,00000008W4,782290027,636560,6851613,2021/3/31,0,0,0,0,1,78343,Les Loges-en-Josas,78,Yvelines,11,Île-de-France
20801,Orange,00000009U6,942290017,655910,6853986,2021/6/30,0,0,0,0,1,94081,Vitry-sur-Seine,94,Val-de-Marne,11,Île-de-France
20801,Orange,00000009U7,752290435,651414,6859150,2021/3/31,0,0,0,0,1,75056,Paris,75,Paris,11,Île-de-France
20801,Orange,00000010M2,492290141,435956,6714172,2020/12/30,0,0,0,0,1,49267,Saint-Barthélemy-d'Anjou,49,Maine-et-Loire,52,Pays de la Loire
20801,Orange,00000010Q2,352290251,353333,6790729,2021/3/31,0,0,0,0,1,35238,Rennes,35,Ille-et-Vilaine,53,Bretagne
20801,Orange,00000010U7,752290195,651970,6859194,2021/4/30,0,0,0,0,1,75056,Paris,75,Paris,11,Île-de-France
20801,Orange,00000010U8,752290259,649993,6865466,2021/3/31,0,0,0,0,1,75056,Paris,75,Paris,11,Île-de-France
20801,Orange,00000011H1,742290015,975267,6594985,2021/6/30,0,0,0,0,1,74119,Évian-les-Bains,74,Haute-Savoie,84,Auvergne-Rhône-Alpes
